temperature,Voltage,power_usage,battery_health,uptime,site_type,location_type,energy_efficiency
40.4,235.36,2029.9999999999998,86.76,17,Ground,Rural,76.42
29.7,236.79,206.0,98.21,18,Rooftop,Urban,100.0
35.8,243.24,1442.0,86.06,19,Ground,Urban,87.27
33.5,238.53,1490.0,87.48,20,Ground,Urban,89.13
35.3,241.45,304.0,97.4,21,Rooftop,Rural,96.23
42.4,244.92,394.0,96.21,22,Ground,Urban,92.89
26.8,243.91,306.0,96.09,23,Rooftop,Urban,100.0
36.5,238.44,400.0,96.2,24,Rooftop,Urban,99.87
38.0,239.77,1348.0,89.57,1,Rooftop,Rural,87.3
23.6,241.94,540.0,95.95,2,Rooftop,Urban,100.0
26.9,241.84,1232.0,93.91,3,Rooftop,Urban,95.54
40.6,239.78,2438.0,84.94,4,Ground,Rural,75.2
35.1,243.54,288.0,97.96,5,Ground,Rural,100.0
35.0,240.53,340.0,96.07,6,Ground,Urban,95.96
34.2,239.46,206.0,98.59,7,Ground,Urban,100.0
46.1,245.84,320.0,97.29,8,Ground,Rural,91.2
36.8,240.87,1596.0,83.96,9,Rooftop,Urban,82.55
37.7,238.75,442.0,96.56,10,Rooftop,Urban,99.49
40.5,241.64,392.0,97.41,11,Ground,Rural,97.49
38.7,237.56,1660.0,84.76,12,Ground,Urban,83.03
34.4,240.62,1778.0,89.7,13,Ground,Rural,87.99
41.0,241.44,1394.0,88.5,14,Ground,Rural,82.61
31.9,241.97,358.0,97.3,15,Rooftop,Urban,100.0
31.7,242.51,444.0,95.1,16,Ground,Urban,100.0
29.5,240.76,334.0,96.54,17,Rooftop,Urban,100.0
34.5,241.14,268.0,97.82,18,Ground,Rural,100.0
36.0,244.46,212.0,97.78,19,Ground,Rural,100.0
36.8,238.68,252.0,98.54,20,Ground,Urban,100.0
37.6,239.77,2634.0,80.04,21,Rooftop,Rural,66.71
41.6,237.56,2290.0,85.52,22,Ground,Urban,69.72
24.8,237.97,282.0,97.38,23,Ground,Urban,100.0
34.0,232.79,6028.0,49.07,24,Ground,Urban,22.99
27.2,241.92,1172.0,91.4,1,Rooftop,Urban,100.0
41.1,240.17,676.0,95.11,2,Ground,Urban,94.94
33.4,234.63,3960.0,75.3,3,Ground,Urban,58.51
32.2,240.95,1488.0,84.68,4,Ground,Rural,84.27
36.3,238.64,1330.0,92.65,5,Rooftop,Urban,86.14
33.0,239.06,3928.0,65.05,6,Ground,Rural,50.09
31.6,237.7,1462.0,90.02,7,Ground,Rural,91.11
25.0,244.5,264.0,98.62,8,Ground,Rural,100.0
25.7,240.83,240.0,97.6,9,Rooftop,Rural,100.0
32.2,243.64,284.0,97.74,10,Rooftop,Urban,100.0
31.6,241.9,164.0,98.67,11,Rooftop,Rural,100.0
27.8,241.9,170.0,98.24,12,Rooftop,Urban,100.0
32.1,245.79,282.0,97.86,13,Rooftop,Urban,100.0
39.2,242.81,380.0,95.68,14,Ground,Rural,95.71
34.3,239.73,158.0,99.08,15,Rooftop,Urban,100.0
38.4,237.68,440.0,96.63,16,Ground,Urban,98.51
33.8,241.13,234.0,98.52,17,Rooftop,Urban,100.0
43.1,241.43,388.0,96.7,18,Rooftop,Rural,98.46
32.6,238.42,2052.0,89.61,19,Rooftop,Rural,78.82
41.9,242.75,138.0,99.02,20,Ground,Rural,100.0
42.1,240.52,176.0,98.87,21,Ground,Urban,99.44
34.8,231.46,1436.0,85.05,22,Rooftop,Rural,88.04
30.9,238.24,324.0,97.11,23,Ground,Rural,100.0
38.2,243.91,310.0,98.09,24,Ground,Urban,100.0
43.7,240.54,3422.0,72.7,1,Ground,Rural,53.38
33.3,237.28,2160.0,77.59,2,Rooftop,Urban,78.65
34.9,240.02,200.0,98.32,3,Ground,Rural,100.0
34.9,241.37,266.0,97.83,4,Ground,Rural,97.33
33.0,243.04,310.0,98.22,5,Ground,Urban,100.0
39.1,241.84,140.0,98.79,6,Ground,Urban,100.0
32.7,245.04,314.0,96.68,7,Ground,Urban,100.0
26.4,239.41,2140.0,82.47,8,Ground,Rural,82.38
40.7,243.14,298.0,97.69,9,Ground,Rural,100.0
29.5,242.77,1618.0,83.7,10,Ground,Rural,84.35
37.9,236.77,1474.0,86.64,11,Rooftop,Urban,79.11
34.7,242.82,352.0,96.87,12,Ground,Urban,100.0
34.1,232.81,1488.0,89.22,13,Ground,Urban,88.13
28.3,240.8,1538.0,84.34,14,Rooftop,Rural,92.64
45.7,242.83,1570.0,88.96,15,Rooftop,Rural,83.35
36.5,239.11,1658.0,83.87,16,Ground,Urban,86.74
27.4,245.98,1494.0,87.16,17,Rooftop,Urban,86.97
41.4,240.68,1792.0,82.97,18,Rooftop,Rural,86.26
32.1,242.94,286.0,97.64,19,Ground,Rural,100.0
44.5,243.23,1788.0,84.63,20,Rooftop,Rural,77.34
34.9,241.56,1498.0,90.43,21,Rooftop,Rural,88.62
29.4,241.42,218.0,98.69,22,Ground,Urban,100.0
35.2,242.3,1476.0,88.67,23,Ground,Rural,90.67
38.6,242.72,474.0,97.07,24,Rooftop,Urban,100.0
38.4,241.68,354.0,96.66,1,Rooftop,Urban,100.0
34.2,241.42,330.0,96.46,2,Rooftop,Rural,100.0
32.7,243.58,1574.0,91.24,3,Ground,Rural,89.6
37.3,244.56,350.0,96.98,4,Rooftop,Rural,100.0
31.3,249.64,270.0,97.63,5,Ground,Urban,100.0
34.4,236.87,124.0,99.2,6,Rooftop,Urban,100.0
33.0,249.2,222.0,98.51,7,Rooftop,Urban,100.0
40.0,242.45,236.0,97.53,8,Ground,Rural,100.0
37.4,241.1,2450.0,83.91,9,Ground,Urban,76.92
32.2,248.18,260.0,98.44,10,Ground,Rural,100.0
37.0,236.8,1388.0,90.44,11,Ground,Rural,84.09
28.5,244.25,256.0,97.53,12,Rooftop,Rural,100.0
32.2,231.47,1500.0,91.99,13,Ground,Urban,88.84
27.6,241.64,446.0,96.36,14,Rooftop,Urban,100.0
36.0,243.44,266.0,98.46,15,Rooftop,Urban,100.0
24.2,244.24,340.0,97.13,16,Rooftop,Rural,100.0
37.6,239.97,1804.0,82.88,17,Rooftop,Urban,74.22
41.5,242.06,288.0,97.11,18,Ground,Rural,99.4
40.3,248.17,1494.0,87.02,19,Rooftop,Urban,87.75
34.6,241.21,1694.0,89.53,20,Ground,Urban,89.99
40.3,234.96,2764.0,73.89,21,Rooftop,Rural,61.94
31.5,243.93,1440.0,87.28,22,Ground,Rural,97.64
41.9,246.39,1644.0,90.67,23,Ground,Rural,82.17
47.2,242.56,1496.0,90.93,24,Rooftop,Urban,77.83
42.3,241.01,340.0,98.11,1,Rooftop,Rural,97.64
41.1,238.65,596.0,96.6,2,Ground,Urban,96.01
49.0,240.99,344.0,96.97,3,Ground,Rural,91.94
46.3,241.21,262.0,98.13,4,Ground,Urban,93.3
32.3,236.69,3868.0,60.54,5,Rooftop,Rural,51.33
28.2,246.95,588.0,96.14,6,Ground,Urban,100.0
32.3,236.39,270.0,97.66,7,Rooftop,Urban,100.0
40.0,234.55,534.0,93.86,8,Ground,Urban,97.08
44.2,240.69,80.0,99.63,9,Ground,Rural,97.64
25.3,240.5,896.0,90.69,10,Rooftop,Urban,99.49
31.8,243.46,276.0,97.83,11,Ground,Urban,100.0
38.1,235.04,1430.0,89.55,12,Ground,Rural,86.92
43.9,244.79,454.0,97.19,13,Rooftop,Urban,97.63
36.8,235.68,3522.0,74.71,14,Rooftop,Rural,62.99
39.5,240.26,322.0,97.72,15,Ground,Urban,100.0
31.4,241.92,210.0,97.66,16,Rooftop,Rural,100.0
37.6,242.54,254.0,97.58,17,Rooftop,Rural,95.88
31.9,241.91,338.0,98.04,18,Rooftop,Urban,100.0
40.8,243.11,138.0,99.26,19,Rooftop,Rural,98.54
30.0,239.92,1590.0,84.06,20,Ground,Rural,87.78
29.9,238.94,1738.0,84.38,21,Ground,Urban,86.03
37.1,243.09,1798.0,82.51,22,Rooftop,Urban,80.05
27.4,242.55,114.0,99.35,23,Rooftop,Rural,100.0
40.6,240.44,2174.0,84.52,24,Ground,Urban,76.34
30.5,241.94,544.0,97.1,1,Ground,Rural,100.0
32.2,242.43,1306.0,86.75,2,Ground,Rural,90.49
36.3,242.47,1670.0,90.51,3,Ground,Urban,86.81
34.8,241.22,386.0,97.84,4,Ground,Rural,100.0
31.9,241.03,532.0,93.78,5,Ground,Rural,100.0
32.2,241.88,566.0,96.47,6,Rooftop,Rural,100.0
42.1,237.31,1454.0,85.94,7,Ground,Rural,83.46
34.8,234.52,2754.0,79.56,8,Ground,Urban,70.34
33.1,243.18,246.0,98.05,9,Ground,Urban,100.0
23.4,233.32,512.0,96.33,10,Ground,Urban,100.0
31.3,242.83,216.0,98.21,11,Ground,Urban,100.0
40.0,239.18,1318.0,89.52,12,Ground,Urban,90.05
30.8,238.21,218.0,97.98,13,Rooftop,Urban,100.0
26.3,249.11,1424.0,89.32,14,Ground,Urban,95.35
25.1,235.83,556.0,96.58,15,Ground,Rural,100.0
36.0,244.43,2740.0,77.68,16,Ground,Rural,73.5
36.7,241.48,360.0,96.02,17,Ground,Urban,100.0
32.6,240.61,270.0,96.97,18,Rooftop,Urban,100.0
41.9,242.39,266.0,98.31,19,Ground,Rural,100.0
31.2,238.78,330.0,97.32,20,Ground,Rural,100.0
41.9,241.12,542.0,94.55,21,Ground,Urban,92.92
36.4,236.05,1942.0,87.01,22,Ground,Urban,80.49
41.7,242.96,516.0,96.11,23,Rooftop,Rural,93.07
40.3,236.62,1568.0,90.24,24,Rooftop,Urban,88.85
32.3,241.77,310.0,97.66,1,Ground,Rural,100.0
26.8,239.53,574.0,96.15,2,Rooftop,Rural,100.0
35.2,237.85,1618.0,90.14,3,Ground,Rural,88.08
34.8,240.38,1870.0,86.82,4,Rooftop,Urban,85.72
29.3,243.13,416.0,96.38,5,Ground,Urban,100.0
38.5,240.16,1366.0,90.63,6,Ground,Rural,90.79
32.6,241.8,2438.0,83.76,7,Rooftop,Urban,75.15
37.6,243.01,334.0,96.11,8,Rooftop,Urban,97.72
37.8,242.67,650.0,93.26,9,Ground,Rural,92.86
33.8,239.87,1652.0,84.78,10,Ground,Urban,85.29
31.0,242.84,310.0,97.35,11,Rooftop,Urban,100.0
40.2,242.5,1378.0,92.32,12,Ground,Rural,81.81
16.0,244.48,308.0,97.42,13,Rooftop,Urban,100.0
33.8,241.9,466.0,95.72,14,Rooftop,Rural,100.0
28.9,240.53,308.0,97.64,15,Ground,Urban,100.0
34.3,237.39,4476.0,53.51,16,Rooftop,Urban,44.27
36.0,244.06,242.0,98.65,17,Ground,Urban,96.28
32.6,242.09,256.0,98.18,18,Rooftop,Urban,100.0
38.2,238.6,1270.0,89.84,19,Rooftop,Urban,83.42
34.9,242.89,242.0,98.33,20,Ground,Rural,97.43
40.6,239.81,326.0,97.83,21,Rooftop,Urban,97.45
33.8,242.88,1432.0,89.27,22,Ground,Urban,89.85
38.4,239.43,1406.0,92.98,23,Ground,Rural,87.08
44.0,240.21,338.0,96.77,24,Rooftop,Urban,96.32
34.2,245.15,312.0,97.13,1,Rooftop,Rural,100.0
47.0,236.85,1792.0,90.57,2,Rooftop,Rural,81.38
35.5,242.34,596.0,94.63,3,Rooftop,Rural,95.64
34.9,241.78,226.0,98.21,4,Rooftop,Rural,100.0
45.4,239.62,298.0,98.02,5,Ground,Rural,100.0
33.4,241.55,712.0,92.33,6,Rooftop,Rural,100.0
28.7,239.66,3044.0,74.06,7,Ground,Urban,67.83
32.0,245.26,1530.0,88.05,8,Rooftop,Urban,89.08
40.8,237.39,1830.0,81.19,9,Rooftop,Urban,79.07
32.1,242.64,442.0,95.2,10,Rooftop,Rural,100.0
32.4,239.64,1358.0,87.19,11,Rooftop,Urban,88.85
23.9,244.7,826.0,92.89,12,Rooftop,Urban,100.0
36.1,241.83,1508.0,91.74,13,Rooftop,Urban,88.2
29.1,240.59,1604.0,84.8,14,Rooftop,Rural,91.41
28.0,240.38,234.0,98.66,15,Ground,Urban,100.0
33.1,242.3,364.0,97.87,16,Rooftop,Rural,100.0
33.2,240.52,214.0,97.94,17,Rooftop,Urban,100.0
33.9,238.5,1798.0,89.05,18,Rooftop,Urban,89.13
33.3,240.55,1640.0,80.42,19,Ground,Rural,84.86
42.8,240.92,1034.0,91.21,20,Rooftop,Rural,85.33
40.9,242.56,574.0,94.48,21,Rooftop,Rural,97.41
35.6,235.53,1358.0,85.61,22,Ground,Urban,86.16
27.7,240.24,1336.0,88.68,23,Rooftop,Rural,92.15
35.9,241.4,134.0,98.57,24,Ground,Urban,100.0
19.0,237.28,1714.0,84.59,1,Rooftop,Rural,99.79
27.5,241.15,1696.0,85.5,2,Ground,Rural,88.17
38.2,240.83,188.0,98.37,3,Ground,Urban,100.0
33.9,240.84,1326.0,89.87,4,Ground,Urban,88.46
20.9,240.96,522.0,96.47,5,Ground,Urban,100.0
30.8,233.45,1196.0,93.06,6,Rooftop,Urban,99.2
34.3,236.68,234.0,98.74,7,Rooftop,Urban,100.0
36.2,237.75,3660.0,65.59,8,Rooftop,Rural,57.16
28.9,242.58,240.0,98.75,9,Ground,Rural,100.0
40.4,241.83,244.0,98.6,10,Ground,Rural,96.88
42.7,241.38,462.0,96.12,11,Rooftop,Urban,99.97
33.8,240.4,1320.0,93.48,12,Rooftop,Rural,91.7
40.8,243.29,454.0,96.04,13,Ground,Urban,95.27
39.6,230.12,1868.0,85.01,14,Rooftop,Rural,78.75
34.2,242.71,262.0,97.03,15,Ground,Urban,100.0
36.2,242.19,290.0,98.16,16,Rooftop,Rural,100.0
45.8,239.22,2012.0,83.11,17,Ground,Rural,70.03
28.2,244.82,270.0,98.49,18,Rooftop,Rural,100.0
34.8,240.95,316.0,96.46,19,Rooftop,Rural,100.0
29.3,240.8,206.0,98.97,20,Rooftop,Urban,100.0
32.5,240.89,314.0,96.2,21,Ground,Rural,100.0
42.6,239.8,670.0,93.45,22,Rooftop,Urban,92.83
48.8,239.1,1402.0,90.19,23,Ground,Urban,81.06
37.7,240.34,316.0,96.44,24,Ground,Rural,100.0
30.7,238.04,146.0,99.04,1,Ground,Urban,100.0
29.3,244.26,252.0,97.48,2,Rooftop,Urban,100.0
33.5,239.02,350.0,97.26,3,Ground,Urban,99.55
40.5,239.93,1310.0,89.61,4,Rooftop,Rural,85.95
31.9,238.19,2013.9999999999998,82.13,5,Rooftop,Rural,85.45
29.5,239.13,1460.0,85.43,6,Rooftop,Urban,90.3
32.7,242.2,322.0,97.21,7,Ground,Rural,100.0
34.0,247.68,310.0,97.99,8,Rooftop,Rural,100.0
35.4,240.78,322.0,98.1,9,Rooftop,Urban,100.0
27.5,238.63,1630.0,86.13,10,Ground,Urban,88.25
38.3,241.8,1292.0,89.88,11,Rooftop,Urban,93.09
36.3,235.07,3956.0,61.52,12,Rooftop,Rural,48.4
43.1,241.05,1572.0,87.83,13,Rooftop,Urban,78.75
27.9,245.65,1362.0,89.18,14,Rooftop,Rural,94.23
37.2,238.16,270.0,98.1,15,Rooftop,Rural,99.83
39.9,241.65,1416.0,91.59,16,Ground,Rural,83.41
39.4,243.11,328.0,97.0,17,Ground,Rural,100.0
34.1,234.22,4040.0,73.77,18,Ground,Rural,53.88
30.9,240.51,366.0,96.04,19,Ground,Rural,100.0
33.9,238.76,1352.0,88.44,20,Ground,Urban,85.48
29.9,241.13,926.0,90.75,21,Rooftop,Urban,98.16
29.2,236.07,3786.0,79.17,22,Ground,Urban,63.66
42.5,242.88,390.0,95.56,23,Ground,Urban,99.18
38.0,242.66,274.0,97.65,24,Ground,Rural,100.0
42.1,237.74,2054.0,79.09,1,Ground,Rural,68.6
41.7,244.13,216.0,97.63,2,Rooftop,Urban,100.0
34.0,239.57,174.0,98.02,3,Ground,Rural,98.32
25.9,245.2,134.0,98.9,4,Ground,Rural,100.0
34.8,242.78,1598.0,87.92,5,Ground,Rural,86.78
31.5,243.29,1278.0,88.56,6,Ground,Urban,89.24
31.6,241.7,154.0,98.68,7,Ground,Urban,100.0
27.0,237.86,3610.0,61.9,8,Ground,Rural,59.18
26.9,229.62,6240.0,36.35,9,Ground,Urban,31.59
34.4,244.06,368.0,96.48,10,Ground,Rural,98.88
44.1,244.25,482.0,95.69,11,Rooftop,Urban,91.01
33.9,241.41,1380.0,89.21,12,Rooftop,Rural,90.42
44.8,244.64,446.0,97.53,13,Ground,Urban,91.83
42.9,240.67,346.0,97.8,14,Ground,Urban,100.0
29.5,240.51,218.0,97.79,15,Rooftop,Urban,100.0
34.2,240.82,862.0,91.54,16,Rooftop,Urban,87.46
35.4,244.73,228.0,98.64,17,Ground,Rural,100.0
32.8,236.38,1334.0,92.39,18,Ground,Rural,90.26
36.3,238.36,2542.0,76.69,19,Ground,Rural,71.77
30.7,243.08,306.0,97.95,20,Rooftop,Urban,100.0
39.8,241.91,1364.0,88.66,21,Rooftop,Urban,87.29
26.7,241.44,200.0,98.94,22,Rooftop,Rural,100.0
29.5,236.49,2013.9999999999998,88.47,23,Rooftop,Rural,85.93
35.2,243.51,1314.0,90.74,24,Ground,Urban,86.56
34.5,238.91,740.0,94.45,1,Rooftop,Rural,98.46
26.5,248.69,1350.0,93.51,2,Rooftop,Urban,97.01
28.3,245.22,358.0,97.43,3,Ground,Rural,100.0
32.9,240.63,634.0,92.56,4,Ground,Urban,100.0
38.5,241.86,584.0,95.59,5,Ground,Rural,95.3
27.2,244.62,132.0,99.27,6,Ground,Rural,100.0
28.8,239.08,1190.0,90.37,7,Rooftop,Rural,93.58
38.8,247.81,212.0,98.4,8,Rooftop,Rural,100.0
33.9,240.47,1420.0,89.41,9,Ground,Rural,87.36
30.4,241.36,352.0,96.55,10,Ground,Rural,100.0
26.6,245.97,410.0,95.92,11,Rooftop,Rural,100.0
33.0,244.62,514.0,96.24,12,Rooftop,Rural,100.0
35.3,235.32,1340.0,91.76,13,Ground,Rural,90.17
41.8,237.63,328.0,96.16,14,Ground,Urban,100.0
33.4,242.2,304.0,97.12,15,Rooftop,Urban,100.0
37.5,236.04,5544.0,67.86,16,Rooftop,Rural,39.67
29.1,241.95,176.0,98.7,17,Ground,Rural,100.0
33.9,242.73,82.0,99.56,18,Rooftop,Urban,100.0
36.4,242.18,404.0,96.92,19,Rooftop,Urban,97.58
44.1,243.5,430.0,96.32,20,Ground,Rural,94.89
34.2,249.8,364.0,97.51,21,Ground,Rural,99.16
34.4,242.96,324.0,97.16,22,Ground,Rural,100.0
32.7,244.26,362.0,96.28,23,Ground,Urban,100.0
28.2,242.37,1634.0,87.43,24,Rooftop,Urban,90.29
39.5,243.26,1496.0,84.67,1,Ground,Rural,80.19
36.1,248.75,1212.0,90.89,2,Ground,Urban,89.69
41.8,240.46,304.0,97.85,3,Ground,Rural,96.24
40.4,241.59,532.0,94.28,4,Ground,Rural,98.78
35.2,240.96,1098.0,88.61,5,Ground,Urban,93.39
36.7,242.87,112.0,99.16,6,Rooftop,Urban,100.0
33.0,236.86,1830.0,81.67,7,Rooftop,Urban,87.99
27.4,237.32,282.0,97.81,8,Rooftop,Rural,100.0
43.5,237.27,2734.0,83.95,9,Ground,Rural,66.22
37.7,242.99,352.0,97.09,10,Ground,Urban,100.0
29.6,243.93,348.0,96.52,11,Rooftop,Rural,100.0
30.1,239.17,234.0,98.28,12,Rooftop,Urban,100.0
37.5,246.99,378.0,97.73,13,Ground,Rural,100.0
34.3,240.71,168.0,98.68,14,Rooftop,Rural,100.0
42.7,241.37,360.0,97.98,15,Rooftop,Rural,100.0
41.8,242.36,1476.0,86.2,16,Rooftop,Rural,86.18
40.4,241.46,1396.0,89.12,17,Rooftop,Rural,87.17
30.3,244.46,266.0,97.17,18,Rooftop,Rural,100.0
45.1,247.34,256.0,98.15,19,Rooftop,Rural,97.92
39.6,243.19,1410.0,92.7,20,Ground,Rural,86.15
36.2,242.94,292.0,97.55,21,Rooftop,Rural,100.0
41.0,241.19,2498.0,82.88,22,Rooftop,Urban,70.29
34.0,240.36,438.0,97.58,23,Ground,Urban,100.0
40.6,241.3,720.0,96.04,24,Rooftop,Rural,92.05
37.5,240.12,364.0,97.11,1,Rooftop,Urban,99.67
29.2,241.32,1684.0,86.62,2,Ground,Rural,93.22
33.2,241.42,1462.0,89.17,3,Rooftop,Rural,89.24
44.5,239.79,390.0,96.38,4,Rooftop,Rural,90.34
35.4,244.33,2122.0,89.54,5,Rooftop,Urban,85.04
33.2,236.49,1668.0,90.78,6,Rooftop,Rural,90.44
33.6,240.83,218.0,98.17,7,Rooftop,Rural,100.0
27.6,238.72,2406.0,83.71,8,Rooftop,Urban,87.44
33.0,242.03,264.0,97.29,9,Rooftop,Rural,100.0
29.3,238.63,1150.0,88.73,10,Ground,Urban,89.0
32.7,240.97,348.0,97.3,11,Ground,Rural,100.0
44.0,245.62,1350.0,89.75,12,Rooftop,Urban,85.09
38.5,243.78,322.0,98.03,13,Rooftop,Urban,100.0
41.3,241.81,2496.0,86.62,14,Ground,Urban,69.71
31.7,241.42,392.0,95.95,15,Ground,Urban,100.0
30.3,243.01,1726.0,88.95,16,Rooftop,Rural,84.52
30.8,240.45,156.0,99.0,17,Rooftop,Rural,100.0
30.3,238.18,3496.0,74.71,18,Ground,Rural,64.25
43.9,240.86,1376.0,91.42,19,Ground,Rural,77.93
32.6,239.92,2296.0,76.88,20,Ground,Rural,73.3
40.5,240.96,392.0,97.01,21,Ground,Urban,93.85
29.3,241.78,358.0,97.25,22,Rooftop,Rural,100.0
34.9,239.67,216.0,97.57,23,Ground,Rural,100.0
25.1,240.98,340.0,97.64,24,Rooftop,Urban,100.0
36.8,239.98,206.0,98.96,1,Ground,Rural,100.0
38.0,237.56,1418.0,91.86,2,Rooftop,Rural,88.53
45.2,241.12,794.0,94.45,3,Rooftop,Rural,90.15
34.4,236.13,588.0,95.36,4,Ground,Rural,96.75
35.9,243.42,1294.0,90.52,5,Rooftop,Urban,90.82
27.0,238.04,200.0,98.64,6,Ground,Urban,100.0
30.9,237.43,1760.0,86.05,7,Rooftop,Urban,83.55
38.6,239.0,1506.0,87.07,8,Rooftop,Rural,82.52
33.2,242.13,1428.0,91.63,9,Rooftop,Rural,90.59
35.6,237.37,4698.0,67.59,10,Ground,Urban,47.43
30.6,239.42,320.0,98.14,11,Rooftop,Urban,100.0
34.5,238.31,2620.0,83.21,12,Ground,Urban,75.2
32.5,242.42,3570.0,65.45,13,Rooftop,Urban,62.95
41.6,247.27,560.0,94.19,14,Rooftop,Rural,97.47
38.1,235.02,178.0,98.65,15,Rooftop,Urban,96.21
48.5,242.65,382.0,97.16,16,Rooftop,Rural,90.56
40.9,241.65,174.0,98.23,17,Ground,Urban,100.0
31.0,243.24,368.0,97.63,18,Ground,Rural,100.0
35.0,241.09,218.0,98.23,19,Rooftop,Rural,100.0
29.9,240.45,3210.0,67.59,20,Rooftop,Rural,64.32
42.7,243.94,422.0,96.24,21,Ground,Urban,99.54
38.6,243.19,638.0,96.44,22,Rooftop,Rural,95.43
32.2,241.53,1382.0,86.78,23,Ground,Urban,96.56
41.0,241.67,1834.0,85.95,24,Ground,Urban,81.2
28.8,240.81,1340.0,92.78,1,Rooftop,Rural,98.0
34.1,236.48,3014.0,79.35,2,Rooftop,Rural,72.4
46.1,242.67,2930.0,79.15,3,Rooftop,Urban,61.27
44.3,238.87,3790.0,66.25,4,Rooftop,Urban,47.67
44.7,243.39,362.0,97.37,5,Rooftop,Urban,99.56
24.2,241.12,1712.0,85.81,6,Rooftop,Urban,89.86
36.7,243.16,1354.0,88.97,7,Rooftop,Urban,85.63
39.1,243.15,144.0,99.0,8,Rooftop,Rural,100.0
32.1,232.78,286.0,97.78,9,Ground,Rural,100.0
24.3,244.28,656.0,96.0,10,Ground,Urban,100.0
40.3,241.78,366.0,95.76,11,Rooftop,Urban,95.21
28.9,238.18,1180.0,93.24,12,Ground,Rural,96.28
36.2,241.95,388.0,97.29,13,Rooftop,Urban,100.0
42.8,239.55,1804.0,86.83,14,Ground,Urban,80.14
47.9,239.3,382.0,97.1,15,Rooftop,Urban,100.0
37.9,239.98,382.0,97.57,16,Rooftop,Rural,97.4
33.7,241.48,288.0,97.71,17,Rooftop,Rural,100.0
31.2,234.13,2472.0,80.59,18,Rooftop,Rural,78.78
34.6,241.94,728.0,95.56,19,Rooftop,Rural,97.86
37.0,239.94,1352.0,90.11,20,Rooftop,Urban,89.03
26.8,240.11,140.0,98.79,21,Rooftop,Rural,100.0
30.3,234.97,2474.0,75.31,22,Rooftop,Urban,70.78
33.0,238.96,1444.0,86.99,23,Rooftop,Urban,89.88
31.8,238.85,390.0,95.58,24,Ground,Rural,100.0
34.6,242.63,980.0,90.15,1,Rooftop,Rural,90.77
30.4,240.03,1934.0,82.85,2,Rooftop,Rural,87.64
39.5,243.52,392.0,96.96,3,Ground,Rural,96.78
37.6,238.49,1776.0,86.89,4,Ground,Urban,82.78
34.6,238.25,4440.0,64.08,5,Rooftop,Urban,44.32
45.6,246.39,224.0,98.53,6,Rooftop,Urban,97.7
28.8,239.04,1854.0,89.25,7,Ground,Urban,89.64
29.6,238.65,2154.0,80.74,8,Rooftop,Rural,79.01
40.1,239.43,1662.0,90.89,9,Rooftop,Urban,82.2
38.4,239.42,528.0,95.0,10,Rooftop,Urban,98.05
